usager_id,age,niveau_diplome,anciennete_poste_ans,code_rome_vise,code_insee_commune,est_allocataire,nationalite_hors_ue,synthese_entretien,classe_retour_emploi
ID_0572,40.0,Bac+5,1.0,J1301,24290,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_0524,42.0,Bac,0.8,A1301,77278,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_1523,21.0,Sans diplôme,3.8,G1601,24450,0.0,1,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,2
ID_0292,58.0,Bac+5,0.6,D1401,64387,0.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",1
ID_0885,30.0,Sans diplôme,0.0,D1406,71244,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_1850,28.0,Bac,0.7,G1801,57138,0.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",2
ID_1702,34.0,,0.5,D1406,54591,,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,0
ID_1539,26.0,Bac+5,5.1,C1110,85130,1.0,1,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",0
ID_2047,44.0,Bac+2,6.4,G1302,78403,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_1952,52.0,Bac+2,3.6,M1203,76193,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1565,42.0,Sans diplôme,1.0,N1101,28371,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_0087,32.0,Bac+2,0.2,A1301,11120,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_1953,54.0,Bac+2,1.5,G1302,46263,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",1
ID_1267,22.0,Bac,4.5,N1303,54312,1.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",0
ID_1412,43.0,Bac,0.6,N1301,70422,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_0048,37.0,Bac+2,0.5,H1504,60677,0.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0473,49.0,Bac,0.2,N4301,02198,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,2
ID_0327,61.0,Bac+5,1.1,K1903,33046,0.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,2
ID_0571,53.0,Bac,0.7,G1601,51339,0.0,0,,1
ID_1220,,Bac+5,5.6,N4101,38343,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_2173,30.0,Bac,1.9,N1301,44015,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,0
ID_1629,56.0,Sans diplôme,3.3,D1210,51625,1.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",2
ID_0650,28.0,Bac+2,0.3,I1304,72367,0.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_0940,,Bac,8.4,D1401,31559,0.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,1
ID_2291,25.0,Bac,2.8,N1101,2A141,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_1964,20.0,Bac+2,1.5,C1110,60330,1.0,1,"Candidat très dynamique, mobilité nationale validée. Projet clair.",1
ID_2470,33.0,Bac+2,0.8,H1206,51587,1.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",0
ID_2474,56.0,Bac+5,5.3,C1302,23258,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_0778,,Bac,0.9,N4301,01291,0.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,2
ID_0752,56.0,Bac+5,1.5,C1102,88324,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1347,28.0,Bac+2,1.9,C1201,88471,1.0,0,,0
ID_1931,59.0,Bac,1.2,K1903,34145,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_2177,47.0,Sans diplôme,0.5,M1203,62828,0.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0014,41.0,Sans diplôme,1.6,G1203,07257,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1798,58.0,Sans diplôme,0.3,H1504,57689,0.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_1951,19.0,Bac,0.2,D1210,59278,1.0,0,,1
ID_2427,21.0,Bac+5,5.9,M1802,05162,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0831,58.0,Bac+2,1.7,G1602,59551,0.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",1
ID_1930,40.0,Bac+5,0.7,M1607,91021,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0134,44.0,Bac+2,2.6,M1805,03299,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_1995,26.0,Sans diplôme,4.0,K2106,60326,1.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,1
ID_0000,56.0,Bac+2,2.6,D1503,18273,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1489,42.0,Bac+5,0.9,K1403,71588,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_0004,25.0,Sans diplôme,1.2,N1301,21302,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,0
ID_0145,47.0,Bac,0.1,C1110,23012,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_2133,32.0,Bac+2,2.3,K2106,19280,0.0,1,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,1
ID_2093,42.0,Sans diplôme,3.1,A1301,10406,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_0105,59.0,Bac+5,9.5,F1603,80185,1.0,0,,1
ID_1948,34.0,Bac+5,0.8,G1602,14646,0.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,0
ID_0616,23.0,Bac,1.1,N1303,71406,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_0318,47.0,Bac,0.9,G1801,76221,0.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_1728,36.0,Bac+5,0.2,C1201,16218,0.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_1092,57.0,Bac,5.0,M1806,88127,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_1768,37.0,Sans diplôme,0.4,K1201,06149,0.0,1,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_2233,34.0,,2.0,C1201,49338,1.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,0
ID_1780,38.0,Bac+5,3.8,C1302,66052,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_0715,30.0,Bac,4.1,K2101,77216,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_0368,56.0,Bac,5.0,N4301,02175,1.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",2
ID_1261,59.0,Sans diplôme,1.9,N4301,47086,0.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",2
ID_1656,27.0,Bac+2,0.3,M1501,11176,1.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,2
ID_2064,26.0,Bac,3.3,M1501,51611,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_1529,27.0,Bac,0.5,C1302,86152,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_0983,32.0,Bac,1.6,D1401,81016,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_1980,37.0,Sans diplôme,4.6,H2502,71232,0.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,2
ID_1694,28.0,Bac,0.1,H1504,06076,0.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",1
ID_0079,62.0,Bac+5,12.1,A1401,30350,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,2
ID_1690,50.0,Bac+5,0.8,K1601,25597,0.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",2
ID_2077,63.0,Sans diplôme,0.6,H2502,91121,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_1556,54.0,Bac,1.4,M1806,27083,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_0892,62.0,Bac,2.6,H2502,60598,1.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,1
ID_0199,34.0,Sans diplôme,4.8,H1206,29272,1.0,1,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_0825,59.0,Bac,0.3,M1607,02732,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,2
ID_0678,43.0,Sans diplôme,1.9,M1501,59292,0.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,2
ID_1235,49.0,Bac+5,3.9,N4301,34045,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_0328,45.0,Bac,1.6,D1210,32410,1.0,1,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_0246,57.0,Bac+2,4.0,G1601,28317,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_2117,63.0,Bac,2.6,N4101,13094,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",2
ID_1922,38.0,Bac,0.2,M1705,02668,1.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,0
ID_0791,34.0,Bac+2,7.7,K1903,11275,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1308,59.0,Bac+2,0.4,A1401,02251,1.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,0
ID_2462,26.0,Sans diplôme,0.3,C1110,26033,0.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",1
ID_0707,35.0,Sans diplôme,4.1,C1302,48158,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1463,35.0,Bac+2,10.4,G1801,14280,1.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,1
ID_2210,41.0,Sans diplôme,0.1,H2502,15229,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_0764,32.0,Bac,2.3,C1501,64354,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",1
ID_0125,,Bac+5,1.5,J1506,44224,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,0
ID_1513,60.0,Bac,8.3,D1502,21225,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,2
ID_1377,59.0,Bac+2,5.6,G1302,88083,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_0488,52.0,Bac+5,2.2,K1304,65261,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_0083,42.0,Bac+2,0.4,D1210,73221,0.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_0658,31.0,Bac,10.1,K2101,17159,1.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",2
ID_0911,39.0,Bac+2,0.8,N1301,23219,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_1918,,Bac+5,1.6,K1601,28248,0.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_1048,50.0,Sans diplôme,1.9,M1806,70167,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",1
ID_1107,57.0,Bac,1.6,K2111,11389,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_1701,21.0,Sans diplôme,5.2,K1903,26035,1.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,2
ID_1022,25.0,Sans diplôme,0.6,C1201,63415,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,0
ID_2011,60.0,Bac+5,0.7,K1403,03036,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_0027,61.0,Bac,2.6,D1503,54062,0.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",1
ID_0773,55.0,Sans diplôme,1.7,K1304,06133,0.0,1,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",2
ID_0557,36.0,Bac,2.4,M1203,65427,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_2461,36.0,,7.0,H2502,17446,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_1575,51.0,Bac,3.9,M1602,28015,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",2
ID_1506,26.0,Bac,7.2,D1210,42167,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_1746,42.0,Bac+2,0.2,A1301,46283,1.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,2
ID_0446,54.0,Sans diplôme,1.7,C1102,03229,1.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,2
ID_1040,23.0,Bac+5,0.3,A1401,60317,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_1963,27.0,Bac+2,0.4,M1801,17444,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_2435,45.0,Bac,1.1,N4301,76503,0.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_1444,,Bac+5,3.5,N1101,59473,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0313,25.0,Bac,1.0,M1801,51616,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0333,52.0,Sans diplôme,1.1,H2502,59205,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1131,43.0,Sans diplôme,0.8,G1801,78431,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_1215,45.0,Bac+5,1.1,M1802,21036,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,0
ID_1714,37.0,Bac+2,1.6,K2101,11120,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,0
ID_0350,48.0,Bac+2,1.6,H1504,49090,1.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,1
ID_1914,23.0,Sans diplôme,0.9,J1301,67166,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_1582,35.0,Bac+2,16.7,A1501,26355,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",1
ID_0455,29.0,Sans diplôme,2.7,A1203,88258,0.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,2
ID_0729,20.0,Bac+2,0.7,G1601,06068,0.0,1,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_0661,18.0,Bac,2.4,M1501,38244,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1511,54.0,Bac+5,1.1,M1607,81272,1.0,1,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_2058,,Bac,1.4,J1506,25425,1.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",0
ID_0484,44.0,,3.9,A1203,06037,0.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_1458,21.0,Bac+5,6.8,H1504,50078,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_1636,46.0,Sans diplôme,2.0,A1501,59263,0.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",1
ID_0695,52.0,Bac+5,1.4,C1201,40078,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1837,26.0,Bac,1.8,M1805,65054,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,0
ID_1184,36.0,Sans diplôme,3.4,M1501,59016,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_1528,63.0,Bac+5,3.0,K1403,33147,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_1715,39.0,Bac,4.4,C1201,11181,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_2072,58.0,Bac,2.9,A1203,27246,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1502,42.0,Bac,0.8,H1206,88324,0.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_1232,49.0,Bac,5.0,C1302,24462,0.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,0
ID_0045,26.0,Bac+2,7.2,K1403,16121,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0417,59.0,Bac+5,3.7,K1903,37022,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_1628,47.0,Bac+2,6.1,A1202,57142,0.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_1816,58.0,Bac,0.8,G1302,51134,0.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_1738,29.0,Bac,2.5,A1203,88373,0.0,0,,2
ID_0229,33.0,Bac,1.3,K2101,62389,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_1001,46.0,Bac+2,1.9,K1304,25393,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0824,45.0,Bac,2.0,C1201,21365,1.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,0
ID_0191,49.0,,0.8,A1203,11257,1.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,1
ID_1438,35.0,Bac,2.1,K1903,40182,0.0,1,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",1
ID_2037,43.0,Sans diplôme,2.5,J1301,48090,0.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_2340,23.0,Bac+5,0.6,W1401,21630,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_1868,62.0,Bac,3.2,M1705,26051,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1097,,Bac,2.3,G1801,02346,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_0797,51.0,Bac,2.8,M1806,16359,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_2050,63.0,Sans diplôme,3.9,D1406,45260,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",1
ID_0759,22.0,Bac,5.6,N4101,57384,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_0072,32.0,Bac,2.6,D1503,88077,0.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,0
ID_2125,45.0,Bac+5,7.3,D1502,54208,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0267,52.0,Bac,1.6,N1101,28310,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_2275,26.0,Bac+5,0.6,K1601,54421,1.0,1,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_1289,19.0,Bac+5,6.3,G1801,62322,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_1456,56.0,Bac+2,7.4,K1201,45207,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_2163,46.0,Bac,1.3,A1202,34225,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1103,57.0,Bac,16.2,A1203,49027,0.0,1,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,2
ID_2111,52.0,Bac+5,3.4,D1210,85233,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_1696,43.0,Bac+5,10.1,G1203,50034,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_0675,25.0,Bac,6.4,N4101,76546,0.0,1,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,0
ID_2085,58.0,Bac,2.1,M1801,63109,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_2229,61.0,Bac,0.4,A1401,14715,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_0679,25.0,Bac+5,0.8,C1102,71481,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,0
ID_2253,59.0,Bac+5,0.3,N4101,78518,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_1024,57.0,Bac+5,1.1,M1501,59164,1.0,1,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",1
ID_2176,42.0,Bac+5,1.7,K1304,24335,1.0,1,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_0097,41.0,Bac,1.3,D1210,76012,0.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",2
ID_2450,22.0,Bac,5.0,C1201,51582,1.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,2
ID_0491,60.0,,2.9,H1206,88349,1.0,1,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,2
ID_0355,49.0,Bac+2,1.4,G1801,76175,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_1084,53.0,Sans diplôme,0.3,K2111,51027,0.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",2
ID_1385,47.0,Bac,0.6,C1110,17145,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,0
ID_1391,61.0,Sans diplôme,0.2,H2502,30323,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,2
ID_1901,45.0,Bac+5,8.8,M1602,29297,0.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_1004,58.0,Bac,3.6,W1401,11362,0.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",1
ID_2266,56.0,Bac+2,2.1,D1210,70386,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_0783,32.0,Bac+5,2.3,C1302,53250,0.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_1553,26.0,Bac+5,0.3,A1401,01321,1.0,1,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_2020,55.0,Sans diplôme,1.1,J1506,30101,1.0,1,Problème ponctuel de mobilité géographique. Zone mal desservie.,2
ID_1851,37.0,Bac+2,6.2,J1301,31332,1.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,0
ID_1158,41.0,Bac+5,10.2,C1110,24409,0.0,1,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_0390,19.0,Sans diplôme,4.2,M1802,84083,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_0253,47.0,Bac,2.2,K1201,17387,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_1019,42.0,Bac,1.9,G1601,45173,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,0
ID_1268,,Bac+2,5.0,H1504,26145,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_1251,36.0,Bac+5,3.0,M1801,27342,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_1141,27.0,Bac+5,6.0,M1705,27097,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_1406,25.0,Bac,0.4,N4301,22308,0.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",2
ID_0765,54.0,Bac,3.0,C1102,60054,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_0011,41.0,Bac,1.5,M1607,89277,1.0,1,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",1
ID_1218,46.0,,4.5,A1301,71234,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_1206,20.0,Bac+5,3.7,M1602,57519,0.0,0,,1
ID_1873,25.0,Bac,0.4,G1801,17462,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",1
ID_0332,23.0,Sans diplôme,8.2,M1801,79190,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_0730,40.0,Sans diplôme,0.0,J1301,58078,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0346,20.0,Bac,1.7,G1801,59412,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_2010,41.0,Bac,5.4,F1603,19116,0.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",1
